price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
4593303,2914,3,1,1,no,no,no,no,yes,2,no,semi-furnished
5060662,2365,4,3,2,yes,no,no,no,yes,3,no,unfurnished
7173256,4828,3,4,4,yes,no,no,no,yes,2,no,unfurnished
6653282,7731,5,1,1,yes,yes,no,no,no,2,yes,unfurnished
7284834,9041,3,1,4,yes,no,no,no,yes,0,no,furnished
5512043,4042,2,1,3,yes,yes,no,no,yes,3,yes,semi-furnished
6288913,4099,5,4,1,yes,yes,yes,no,no,2,yes,unfurnished
7933082,10093,5,2,2,yes,no,yes,no,no,2,yes,unfurnished
5962168,2758,5,1,4,yes,no,no,no,no,3,yes,furnished
7357894,11183,3,2,1,yes,no,yes,no,no,2,no,semi-furnished
5192909,3859,1,4,1,yes,no,no,no,yes,2,no,unfurnished
5541527,4781,3,3,1,yes,no,no,no,no,2,no,semi-furnished
7313900,4710,4,4,3,yes,no,yes,no,no,2,no,semi-furnished
7418484,6671,4,4,2,yes,yes,no,no,no,3,no,unfurnished
5143804,2589,1,4,3,no,yes,no,no,yes,1,yes,unfurnished
8072663,10943,1,2,4,yes,no,no,no,no,2,no,furnished
5145142,3508,1,2,4,no,yes,no,no,yes,3,no,unfurnished
5103247,3873,1,4,2,no,no,no,no,no,3,no,semi-furnished
6251984,6407,3,2,2,yes,yes,yes,no,no,2,yes,semi-furnished
7420306,10688,2,1,1,yes,no,no,no,no,2,no,furnished
7755850,6844,1,4,4,yes,no,no,no,no,2,yes,semi-furnished
6842337,10138,2,3,2,yes,no,yes,no,no,1,no,semi-furnished
7768798,10674,3,2,3,yes,yes,no,no,no,0,no,semi-furnished
2659406,2114,1,1,3,yes,no,no,no,no,1,no,unfurnished
8568113,9562,2,4,3,yes,yes,no,no,yes,3,no,semi-furnished
6369467,7308,4,2,3,yes,no,yes,no,yes,0,no,semi-furnished
7232452,11732,4,2,2,no,no,yes,no,no,2,no,unfurnished
8135071,8092,5,4,2,yes,yes,yes,no,no,1,no,semi-furnished
5498228,1783,1,4,2,yes,no,no,no,no,2,yes,semi-furnished
7441523,10658,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
5678230,9843,1,1,1,yes,no,no,no,no,1,yes,unfurnished
9025680,11750,3,3,4,yes,yes,yes,no,no,2,no,unfurnished
8842930,11959,1,4,3,yes,no,yes,no,no,1,no,furnished
4265628,3450,2,1,4,yes,no,yes,no,no,2,no,unfurnished
4380156,2670,2,2,3,yes,no,yes,no,no,3,no,unfurnished
6028553,5981,5,4,2,yes,no,no,no,no,1,no,unfurnished
7802364,9661,3,4,3,yes,no,no,no,no,2,no,unfurnished
6773725,2944,3,4,3,yes,no,yes,no,yes,3,yes,unfurnished
5518460,5570,2,1,2,yes,no,no,no,no,1,yes,semi-furnished
7578874,9443,4,2,3,yes,yes,no,no,yes,2,no,unfurnished
4508697,2261,2,4,2,no,no,no,no,no,0,no,unfurnished
5322958,3408,3,3,4,no,yes,no,no,no,3,no,unfurnished
5861573,5865,2,1,3,yes,no,yes,no,no,2,no,semi-furnished
6245415,4677,2,4,3,yes,no,no,no,no,1,no,semi-furnished
4465384,5935,3,2,1,yes,yes,no,no,no,0,no,unfurnished
5557307,7671,5,2,2,yes,no,no,no,no,1,no,unfurnished
5551254,5228,2,1,4,yes,no,yes,no,no,2,no,furnished
6021527,3554,2,4,1,yes,no,no,no,yes,3,no,unfurnished
5645018,2006,4,3,1,yes,yes,yes,no,no,1,no,furnished
6230739,8348,2,2,4,no,no,no,no,no,2,no,semi-furnished
5949466,10485,2,3,1,no,no,yes,no,no,1,no,unfurnished
8906142,8598,5,4,2,yes,yes,yes,no,no,1,yes,semi-furnished
7680905,11724,1,2,2,yes,yes,no,no,yes,0,no,semi-furnished
4979526,2574,2,3,2,yes,no,no,no,no,2,no,semi-furnished
6125010,8425,3,3,1,yes,no,no,no,no,1,no,unfurnished
6909869,4094,3,4,2,yes,no,no,no,no,3,yes,semi-furnished
7534917,8474,5,2,4,yes,no,yes,no,no,1,no,unfurnished
7970202,11561,5,1,1,yes,no,no,no,yes,1,no,semi-furnished
3499712,1901,2,2,1,no,no,no,no,yes,3,no,semi-furnished
7067827,6703,3,3,4,yes,no,no,no,no,3,no,semi-furnished
7466672,10866,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
8268762,7180,3,4,4,yes,no,yes,no,no,3,no,semi-furnished
4126353,2612,5,1,1,yes,no,no,no,no,0,yes,semi-furnished
8959567,11751,4,4,1,yes,no,yes,no,no,0,no,semi-furnished
5607636,8704,2,1,1,yes,no,yes,no,no,1,yes,unfurnished
4698583,5350,3,1,1,yes,no,no,no,no,0,yes,unfurnished
6792321,7077,5,1,1,yes,no,no,no,yes,1,yes,unfurnished
5311612,2189,2,3,1,yes,no,no,no,yes,1,yes,furnished
9193041,8025,5,3,4,yes,no,yes,no,no,1,yes,furnished
9698124,11707,5,4,3,yes,no,no,no,no,0,no,furnished
7868814,11248,4,1,3,yes,yes,yes,no,no,1,no,semi-furnished
7020336,6700,4,3,3,yes,no,no,no,no,0,yes,semi-furnished
6150453,3174,5,3,4,yes,no,yes,no,no,0,no,semi-furnished
6216065,3924,3,3,3,yes,yes,yes,no,no,3,no,unfurnished
7686146,11890,4,2,4,yes,yes,no,no,no,0,no,semi-furnished
8050410,11388,2,3,3,yes,yes,no,no,no,1,no,unfurnished
7830748,5621,3,4,3,yes,no,yes,no,yes,3,no,furnished
6031822,5084,4,3,1,yes,yes,yes,no,yes,3,no,semi-furnished
9222030,9007,5,4,4,yes,no,no,no,no,3,no,furnished
5131612,7466,2,1,4,no,no,yes,no,no,2,no,semi-furnished
8624701,11074,2,4,3,yes,no,no,no,no,3,no,semi-furnished
6358712,3971,3,3,3,yes,no,yes,no,no,3,no,furnished
4864393,2382,1,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
7375133,8286,2,2,4,yes,no,yes,no,no,3,no,furnished
4379169,2675,5,1,2,yes,no,yes,no,no,2,no,semi-furnished
7280057,7350,3,4,2,no,no,no,no,yes,2,yes,semi-furnished
7252873,3966,5,4,4,yes,no,no,no,no,1,no,furnished
6036470,4715,3,4,1,no,no,yes,no,no,2,no,semi-furnished
8961728,9706,4,4,4,yes,yes,no,no,yes,1,no,furnished
7542335,9765,5,1,1,yes,no,no,no,yes,2,no,semi-furnished
6663509,8615,1,2,3,yes,no,no,no,no,0,no,furnished
7393543,7394,5,4,2,yes,no,no,no,no,1,no,furnished
5656679,6444,3,3,1,no,no,no,no,no,1,yes,unfurnished
7227354,5705,4,4,2,yes,no,yes,no,no,2,no,unfurnished
6907624,7696,4,4,3,no,no,yes,no,no,0,no,unfurnished
6754825,8689,2,4,3,yes,no,no,no,no,2,no,unfurnished
4246709,2443,1,1,4,yes,no,no,yes,no,0,yes,unfurnished
4916152,4254,3,1,3,yes,no,no,no,no,2,no,unfurnished
6356577,8682,1,1,1,yes,yes,yes,no,yes,1,no,unfurnished
5204092,3815,4,1,2,yes,no,yes,no,yes,3,no,unfurnished
3698282,3831,2,1,1,yes,no,no,no,no,1,no,unfurnished
7178823,3667,5,4,3,yes,yes,yes,no,no,3,no,semi-furnished
4773747,2089,3,2,2,yes,yes,no,no,no,3,yes,semi-furnished
3823566,1847,3,3,2,no,no,no,no,no,3,no,unfurnished
3913135,1923,5,1,1,yes,no,no,no,yes,2,no,unfurnished
8041813,10441,5,2,3,yes,no,yes,no,no,0,no,semi-furnished
5885313,2733,3,4,2,yes,no,yes,no,yes,0,no,semi-furnished
5421321,3898,1,2,4,yes,no,no,no,yes,2,no,semi-furnished
5807723,3584,1,3,4,yes,no,no,no,no,2,no,furnished
4642588,4227,3,1,1,yes,yes,no,yes,yes,1,no,unfurnished
6172557,4582,1,4,2,yes,no,yes,no,no,2,yes,unfurnished
7377375,10100,1,4,1,no,no,yes,no,no,3,no,semi-furnished
7680748,6629,5,2,4,yes,no,no,no,no,2,no,furnished
7229913,5467,5,3,1,yes,no,no,no,yes,2,no,furnished
5634016,9711,1,2,3,yes,no,no,no,no,0,no,unfurnished
5708171,8111,1,1,4,yes,no,yes,no,no,1,no,semi-furnished
5352942,6105,2,1,2,yes,no,yes,no,no,1,no,semi-furnished
6585207,6701,4,3,1,yes,no,no,no,yes,0,no,semi-furnished
4800812,3144,2,3,4,yes,no,no,yes,no,0,no,unfurnished
4124413,3940,1,1,1,yes,no,no,no,no,1,no,semi-furnished
5385995,2878,1,1,2,yes,yes,no,no,yes,3,no,furnished
7246786,8121,4,1,4,yes,no,yes,no,no,3,yes,semi-furnished
7465809,5676,3,4,4,yes,no,yes,no,no,3,no,semi-furnished
7196551,7916,3,4,4,no,no,no,no,yes,2,yes,unfurnished
6819670,6252,1,4,3,no,yes,no,no,no,1,no,furnished
6398168,8013,3,2,2,yes,no,no,no,yes,1,no,unfurnished
7963035,10884,2,2,4,yes,yes,yes,no,yes,2,no,semi-furnished
6004768,7232,2,3,1,yes,no,yes,no,no,0,no,furnished
6559242,8131,5,1,3,yes,no,no,no,no,2,no,semi-furnished
7551277,11705,3,2,2,yes,no,yes,no,no,3,no,semi-furnished
7057743,10947,1,2,3,yes,yes,no,no,yes,1,no,semi-furnished
5776745,7150,4,1,3,yes,yes,yes,no,yes,1,no,unfurnished
8073188,4375,4,4,4,yes,yes,no,no,no,2,no,furnished
6763871,6481,1,3,3,yes,yes,no,no,no,0,no,furnished
9975217,11382,5,4,1,no,yes,no,no,yes,3,yes,furnished
8569487,10499,3,3,3,yes,no,no,no,yes,1,yes,furnished
8724843,11891,5,4,2,yes,yes,yes,no,no,0,no,semi-furnished
6190327,3143,5,4,2,no,no,no,no,no,2,yes,semi-furnished
4726212,2659,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
7319490,9429,5,2,4,yes,no,no,no,no,2,no,unfurnished
8155517,11812,2,1,4,no,yes,yes,no,yes,1,yes,unfurnished
7035373,4072,5,3,3,yes,no,no,no,no,0,no,furnished
9879403,11858,5,4,1,yes,no,no,no,yes,3,yes,unfurnished
6815062,7283,4,3,4,yes,no,yes,no,no,3,no,semi-furnished
6636562,8134,3,2,1,no,no,yes,no,yes,3,no,semi-furnished
6062815,5384,2,3,4,yes,no,no,no,yes,2,no,unfurnished
7868458,10112,3,1,2,yes,no,yes,no,no,0,yes,furnished
6047194,5737,1,4,1,yes,no,no,no,no,2,yes,furnished
7632723,7752,4,4,2,yes,no,yes,no,no,3,no,semi-furnished
7514733,11025,2,2,2,yes,no,yes,no,no,1,yes,unfurnished
5099046,4487,5,1,2,yes,no,no,no,yes,2,no,unfurnished
6881509,6600,5,4,1,yes,no,no,no,no,0,no,semi-furnished
5530622,3421,4,1,3,yes,no,yes,no,no,2,no,furnished
7464248,11480,4,3,2,yes,no,yes,no,no,0,yes,unfurnished
8028865,11022,2,3,2,no,no,no,no,no,3,no,furnished
6180912,5887,5,2,3,yes,no,no,no,no,0,no,semi-furnished
7315826,9248,1,4,1,yes,no,yes,no,no,0,no,unfurnished
8556209,7264,4,4,2,no,no,yes,no,no,2,no,furnished
6387170,9056,3,2,2,yes,no,yes,no,no,1,no,unfurnished
5695186,4917,3,1,3,yes,yes,no,no,no,1,no,furnished
7929911,9896,5,3,2,yes,no,yes,no,no,0,no,unfurnished
8077926,9681,3,2,2,yes,no,no,no,yes,3,no,furnished
4564058,2262,4,3,1,yes,no,yes,no,no,0,no,semi-furnished
7978891,11977,1,3,4,yes,no,no,no,no,0,yes,unfurnished
5506503,3578,3,1,1,yes,no,yes,no,yes,3,no,semi-furnished
5983013,5052,4,3,2,yes,yes,yes,no,no,0,no,unfurnished
5367994,2879,1,3,2,no,no,no,no,yes,3,yes,semi-furnished
3913437,3548,1,1,1,yes,yes,no,no,no,1,no,furnished
5710837,7265,2,1,4,no,no,no,no,no,3,no,unfurnished
5066124,2610,2,1,4,yes,no,yes,no,no,3,yes,unfurnished
6029771,3790,4,4,1,yes,yes,no,yes,no,3,no,unfurnished
6136196,7192,5,1,4,yes,no,no,no,no,1,no,semi-furnished
6053641,1840,2,4,4,yes,no,yes,no,yes,1,yes,semi-furnished
8827030,9171,4,4,1,yes,yes,no,no,yes,3,no,semi-furnished
3501230,1652,1,3,2,no,no,yes,no,no,3,no,semi-furnished
6070732,9064,1,1,2,yes,no,no,no,no,0,no,furnished
6265458,4339,4,2,4,yes,no,yes,no,yes,0,no,furnished
5916698,2411,5,1,4,yes,no,yes,no,no,3,yes,unfurnished
7525818,11236,4,2,2,yes,no,no,no,no,1,no,semi-furnished
6876125,8168,3,3,4,yes,no,no,no,no,1,no,semi-furnished
7340829,10719,2,2,2,yes,no,yes,no,no,2,yes,semi-furnished
8220133,7421,5,4,4,no,no,yes,no,no,2,yes,furnished
7551579,6024,2,3,3,yes,no,yes,no,yes,1,no,furnished
6279982,5325,5,4,2,yes,yes,no,no,no,2,no,unfurnished
4754735,2531,1,3,2,yes,no,no,no,no,3,no,semi-furnished
5645415,6469,4,2,1,no,no,yes,yes,yes,1,no,furnished
5965256,5828,1,3,4,yes,no,no,no,no,1,no,semi-furnished
4055607,2844,3,2,2,yes,yes,no,no,no,0,no,semi-furnished
5654871,7074,3,3,2,no,no,no,yes,no,3,no,unfurnished
5090926,2303,3,4,1,yes,no,yes,no,no,3,no,semi-furnished
7687885,9625,1,3,2,yes,no,yes,no,no,2,yes,furnished
6455146,8600,1,2,4,yes,yes,no,no,yes,0,yes,unfurnished
6883074,10793,1,2,3,yes,no,no,yes,no,3,no,semi-furnished
5680614,11244,1,1,3,yes,no,no,no,no,0,no,unfurnished
4888627,2154,4,2,2,yes,no,no,no,no,1,no,unfurnished
5293533,7763,1,2,1,yes,no,no,no,yes,0,no,unfurnished
7307003,7283,2,4,2,yes,no,yes,no,no,1,no,furnished
6259774,10642,4,1,3,yes,no,no,no,no,0,no,furnished
6247302,6321,5,1,2,yes,no,no,no,yes,2,no,unfurnished
6310910,6781,2,2,4,yes,yes,no,no,no,2,no,semi-furnished
7863395,10688,1,2,1,no,yes,no,no,no,2,yes,furnished
5961925,2161,5,4,2,yes,no,no,no,no,0,no,furnished
7675339,11310,3,2,4,yes,no,no,no,no,0,no,furnished
6766174,4585,5,2,4,yes,no,yes,no,yes,2,no,semi-furnished
6891161,7568,4,4,4,yes,no,yes,no,no,0,no,unfurnished
6590862,7821,4,3,1,yes,no,no,no,no,2,no,semi-furnished
7522787,11549,1,2,4,yes,no,yes,no,yes,1,no,unfurnished
8019952,7060,1,4,4,yes,yes,no,yes,yes,3,no,furnished
7084995,11964,5,1,2,yes,no,no,no,no,0,no,unfurnished
5583663,3054,2,4,4,yes,no,no,no,no,3,yes,semi-furnished
6300256,5983,2,3,4,yes,no,yes,no,no,0,no,semi-furnished
6851435,9446,5,1,1,yes,yes,no,no,no,0,no,semi-furnished
7411439,10203,4,3,1,yes,no,no,no,no,3,no,unfurnished
5373728,3843,3,4,2,yes,no,no,no,no,0,no,semi-furnished
4464539,3580,5,1,4,yes,no,no,no,no,1,no,unfurnished
6733726,6164,4,2,4,yes,no,no,no,no,3,no,semi-furnished
4733149,3912,1,2,4,yes,no,no,no,no,1,no,furnished
6164588,3142,2,4,4,yes,no,yes,yes,no,0,no,semi-furnished
7526133,10186,3,1,2,yes,no,no,no,yes,3,yes,semi-furnished
5270293,4426,1,3,2,no,yes,yes,no,no,0,no,furnished
4380998,1901,1,1,3,yes,no,yes,no,no,2,no,furnished
7304162,10802,1,3,3,yes,no,no,no,no,0,no,unfurnished
8271630,10876,4,2,3,yes,no,no,no,yes,3,no,unfurnished
7848680,6822,4,3,1,yes,yes,no,no,yes,2,no,semi-furnished
7483479,7442,2,3,2,yes,no,no,no,yes,1,yes,furnished
3630980,3397,1,1,4,yes,no,yes,no,no,0,no,unfurnished
8566139,11062,3,4,2,yes,no,yes,no,no,2,no,furnished
6479578,4513,4,1,4,yes,yes,yes,no,no,2,no,semi-furnished
7117748,10637,3,2,3,no,no,yes,no,no,3,no,semi-furnished
7259904,11011,2,2,1,yes,no,no,no,no,2,no,semi-furnished
4365973,1809,2,4,4,no,no,no,no,no,1,no,semi-furnished
4697383,4326,1,2,3,yes,yes,no,no,no,3,no,unfurnished
5883815,7288,1,4,1,no,no,yes,no,no,2,yes,unfurnished
7645396,9637,4,1,4,yes,no,no,no,no,2,no,semi-furnished
5995695,8281,1,1,2,yes,no,yes,no,no,2,no,semi-furnished
9604623,11266,5,4,4,yes,yes,no,no,no,1,no,furnished
4560656,4384,4,1,1,no,no,yes,no,no,0,no,furnished
6699493,8037,3,2,2,yes,yes,no,no,yes,2,no,unfurnished
7092636,9451,4,3,4,no,no,yes,no,no,1,no,semi-furnished
6819128,6723,3,4,2,yes,no,yes,no,yes,0,no,unfurnished
7460530,7284,3,4,1,no,no,yes,no,yes,3,no,furnished
9185736,10834,4,4,2,yes,no,no,no,yes,1,no,semi-furnished
8242313,11696,3,3,3,yes,yes,yes,no,no,3,no,unfurnished
5617381,4142,1,1,2,yes,yes,no,yes,yes,0,yes,furnished
8543278,8535,3,4,3,yes,yes,yes,no,yes,3,no,semi-furnished
6143565,5747,4,1,1,yes,no,yes,no,yes,1,no,furnished
7139083,5065,4,4,3,yes,no,no,no,yes,2,no,semi-furnished
5926886,5218,1,2,4,yes,no,no,no,yes,2,no,semi-furnished
7610261,9436,5,2,3,yes,no,no,no,no,0,no,furnished
7635225,10437,1,2,4,yes,no,no,no,no,1,no,furnished
7358228,7839,3,2,3,yes,no,yes,no,yes,0,yes,semi-furnished
7091246,11458,5,2,1,yes,no,no,no,no,1,no,unfurnished
4966924,1956,5,3,2,yes,no,no,no,no,2,no,semi-furnished
5043910,6926,1,1,1,yes,yes,no,no,no,0,yes,semi-furnished
6196124,8016,4,3,1,yes,no,yes,no,no,2,no,unfurnished
8010864,7563,5,4,3,yes,no,yes,no,yes,0,no,unfurnished
4187908,3241,1,2,4,yes,no,no,no,no,1,no,unfurnished
5586095,9165,4,1,2,yes,no,no,no,no,1,no,unfurnished
7901861,10662,3,3,4,yes,no,yes,no,no,3,no,unfurnished
6892480,8155,1,1,3,yes,no,yes,no,yes,0,no,furnished
6240911,6171,5,2,1,yes,yes,yes,no,yes,0,no,semi-furnished
6351778,5212,1,3,4,yes,no,no,no,yes,1,no,furnished
7483293,11091,4,1,1,yes,no,no,no,no,2,yes,semi-furnished
6834237,7916,1,3,1,yes,yes,no,no,yes,2,no,semi-furnished
7988826,8950,5,1,2,yes,no,yes,no,no,3,yes,semi-furnished
5965673,3786,2,4,2,yes,no,no,no,no,3,no,semi-furnished
5587620,8696,3,1,1,yes,no,yes,no,yes,3,no,unfurnished
6202084,8895,5,2,4,no,no,no,no,no,0,yes,unfurnished
5982964,5632,5,2,3,yes,no,yes,no,no,0,no,furnished
8032716,10641,4,2,1,yes,no,yes,no,yes,3,no,semi-furnished
3536453,2519,4,1,1,yes,no,no,no,yes,3,no,unfurnished
8374235,9981,1,3,4,yes,no,no,no,yes,0,no,semi-furnished
6012212,7115,4,4,2,yes,no,no,no,no,0,no,unfurnished
4412378,2132,5,3,2,yes,no,yes,no,no,1,no,unfurnished
6878371,5376,4,2,2,no,no,yes,no,yes,3,yes,semi-furnished
6591420,6712,5,2,4,yes,no,yes,no,no,1,no,furnished
6474339,4034,1,3,4,yes,no,no,no,no,3,yes,furnished
9504398,11676,5,3,2,yes,yes,yes,no,yes,1,no,semi-furnished
8164431,7776,2,4,4,yes,no,yes,no,yes,3,no,semi-furnished
3859300,5001,1,2,4,yes,no,no,no,no,3,no,unfurnished
5654119,6776,4,1,1,yes,no,no,no,no,3,no,furnished
5602495,2457,2,3,4,no,no,yes,no,yes,3,no,unfurnished
5276672,3980,4,4,1,yes,no,no,no,no,0,no,furnished
6529821,4958,4,1,3,yes,no,no,no,yes,2,yes,semi-furnished
8129731,7596,1,4,2,yes,yes,yes,no,no,3,no,furnished
7011661,2490,4,3,3,yes,no,no,no,yes,3,no,furnished
7082117,9803,4,1,4,yes,no,no,no,no,1,yes,unfurnished
5022102,5051,1,2,2,yes,yes,no,no,no,0,no,unfurnished
4344056,2453,1,4,2,yes,no,no,no,no,1,yes,semi-furnished
5170342,3175,3,3,3,yes,no,no,no,no,3,yes,unfurnished
8286933,7043,5,4,2,yes,yes,no,no,no,1,no,unfurnished
5501516,6355,4,3,3,no,no,no,no,no,2,no,unfurnished
